"iso3c","year","imports","exports","total_trade","trade_balance","imports.perc.gdp.pwt","imports.perc.gdp.gl","exports.perc.gdp.pwt","exports.perc.gdp.gl","total.trade.perc.gdp.pwt","total.trade.perc.gdp.gl","trade.balance.perc.gdp.pwt","trade.balance.perc.gdp.gl","imports.per.capita.un","imports.per.capita.cow","exports.per.capita.un","exports.per.capita.cow","total.trade.per.capita.un","total.trade.per.capita.cow","trade.balance.per.capita.un","trade.balance.per.capita.cow","trade.balance.perc.total.trade"
"IRN",1955,326799987.792969,3.48e+08,674799987.792969,-21200012.2070312,0.00159994952322081,0.00285091076616315,0.00170374068200262,0.00303585368324215,0.00330369020522343,0.0058867644494053,-0.000103791158781814,-0.000184942917079006,16.9379075252912,17.8335600432725,18.0366953457033,18.9904502046385,34.9746028709945,36.824010247911,-1.09878782041211,-1.15689016136596,-0.0314167347221936
"IRN",1956,406200012.207031,4.77e+08,883200012.207031,-70799987.7929687,0.00176247964241431,0.00318680823022049,0.00206967691818566,0.00374226361431129,0.00383215656059997,0.00692907184453178,-0.00030719727577135,-0.000555455384090797,20.532781287319,21.0892483363808,24.1116109791235,24.765069311043,44.6443922664425,45.8543176474239,-3.57882969180451,-3.6758209746622,-0.0801630285489313
"IRN",1957,485600006.103516,6.06e+08,1091600006.10352,-120399993.896484,0.00175581410001986,0.00328974215541594,0.00219115183533423,0.00410540305009199,0.00394696593535409,0.00739514520550793,-0.000435337735314377,-0.000815660894676046,23.9353315311275,24.5289693440176,29.8698738170347,30.6106985906956,53.8052053481622,55.1396679347131,-5.93454228590716,-6.081729246678,-0.110296805810999
"IRN",1958,5.65e+08,7.35e+08,1.3e+09,-1.7e+08,0.0018017797482073,0.00329209435883824,0.00234390816802189,0.00428263602432939,0.00414568791622918,0.00757473038316763,-0.000542128419814586,-0.000990541665491151,27.1491038393157,27.7613993710692,35.3178607467205,36.1143867924528,62.4669645860362,63.875786163522,-8.16875690740474,-8.35298742138365,-0.130769230769231
"IRN",1959,607500000,7.75e+08,1382500000,-167500000,0.00172723654302413,0.00322663896987052,0.00220347048698551,0.00411628839777721,0.00393070703000964,0.00734292736764772,-0.000476233943961385,-0.000889649427906686,28.4529998594914,29.0308706871834,36.2980656643717,37.0352671317978,64.751065523863,66.0661378189812,-7.84506580488033,-8.00439644461436,-0.121157323688969
"IRN",1960,556900000,815150024.414062,1372050024.41406,-258250024.414062,0.00144433343081741,0.00285221778242295,0.00211411102781982,0.00417487052428855,0.00355844445863723,0.0070270883067115,-0.000669777597002412,-0.0013226527418656,25.4210982790889,25.9760250011661,37.2095688325221,38.0218305151389,62.630667111611,63.997855516305,-11.7884705534333,-12.0458055139728,-0.18822201801596
"IRN",1961,601500000,897500000,1.499e+09,-2.96e+08,0.00143754048151861,0.00293904804852301,0.002144958573837,0.00438536263266733,0.00358249905535561,0.00732441068119034,-0.000707418092318387,-0.00144631458414432,26.7571174377224,27.2061151567235,39.9243772241993,40.594328101678,66.6814946619217,67.8004432584016,-13.1672597864769,-13.3882129449545,-0.197464976651101
"IRN",1962,520600000,9.8e+08,1500600000,-459400000,0.00116669743085987,0.00242566381427193,0.00219624180223333,0.00456617467919034,0.0033629392330932,0.00699183849346227,-0.00102954437137346,-0.00214051086491841,22.5651250487625,22.8323319152669,42.4775692427723,42.9805710275865,65.0426942915348,65.8129029428534,-19.9124441940098,-20.1482391123196,-0.306144208983073
"IRN",1963,5.2e+08,9.17e+08,1.437e+09,-3.97e+08,0.0010981926346881,0.0023327953364464,0.00193662047309421,0.00411379485292566,0.00303481310778231,0.00644659018937206,-0.000838427838406107,-0.00178099951647927,21.9594594594595,22.1154255092927,38.7246621621622,38.9997022923489,60.6841216216216,61.1151278016416,-16.7652027027027,-16.8842767830562,-0.276270006958942
"IRN",1964,668900000,1217200000,1886100000,-548300000,0.00131055305964858,0.00281929340810931,0.00238481863388287,0.00513027946830714,0.00369537169353144,0.00794957287641645,-0.00107426557423429,-0.00231098606019784,27.5176896494981,27.5846426656769,50.0740496955735,50.1958843663656,77.5917393450716,77.7805270320426,-22.5563600460754,-22.6112417006887,-0.290705688987859
"IRN",1965,855300000,1.27e+09,2125300000,-414700000,0.0014717546168461,0.00315186833479483,0.00218534825604413,0.00468008042229561,0.00365710287289022,0.00783194875709044,-0.000713593639198031,-0.00152821208750078,34.2736926467642,34.20242332147,50.8916048887998,50.7857799816052,85.165297535564,84.9882033030751,-16.6179122420357,-16.5833566601352,-0.195125394062015
"IRN",1966,933600000,1308200000,2241800000,-374600000,0.00144333005648635,0.00314483029654269,0.00202245541976804,0.00440666987354022,0.00346578547625438,0.0075515001700829,-0.00057912536328169,-0.00126183957699753,36.4331707317073,36.2014812516965,51.0517073170732,50.7270541703827,87.4848780487805,86.9285354220792,-14.6185365853659,-14.5255729186863,-0.167097867784816
"IRN",1967,1123900000,1919700000,3043600000,-795800000,0.00156622489185132,0.003338095183485,0.00267522192800692,0.0057017006172579,0.00424144681985824,0.00903979580074291,-0.0011089970361556,-0.0023636054337729,42.7046128125237,42.4289327645438,72.9424728322821,72.4715919815773,115.647085644806,114.900524746121,-30.2378600197583,-30.0426592170335,-0.261466684189775
"IRN",1968,1.393e+09,1869600000,3262600000,-476600000,0.00172284388430045,0.00367535270660767,0.00231229642935256,0.00493283519043339,0.004035140313653,0.00860818789704106,-0.000589452545052112,-0.00125748248382571,51.5296119557578,51.1981770067627,69.1599156586394,68.7150837988827,120.689527614397,119.913260805645,-17.6303037028817,-17.51690679212,-0.146079813645559
"IRN",1969,1384400000,2.1e+09,3484400000,-715600000,0.00151355353834514,0.00327042978433567,0.00229591334189887,0.00496092353879291,0.00380946688024401,0.00823135332312858,-0.000782359803553728,-0.00169049375445724,49.8613362146587,49.5383954769913,75.634792004322,75.1449223502469,125.496128218981,124.683317827238,-25.7734557896632,-25.6065268732556,-0.205372517506601
"IRN",1970,1.66e+09,2.62e+09,4.28e+09,-9.6e+08,0.00298627767629531,0.00328462473221597,0.00471328163367091,0.00518416674602762,0.00769955930996621,0.00846879147824359,-0.0017270039573756,-0.00189954201381165,58.2170162025672,57.8296464030657,91.8846882233289,91.2732973349591,150.101704425896,149.102943738025,-33.6676720207617,-33.4436509318934,-0.224299065420561
"IRN",1971,1.87e+09,3.83e+09,5.7e+09,-1.96e+09,0.00295867444961011,0.00336645064816546,0.00605974499572553,0.00689492298528006,0.00901841944533564,0.0102613736334455,-0.00310107054611541,-0.0035284723371146,63.8639390731191,63.4242300908968,130.801543663126,129.900963234297,194.665482736245,193.325193325193,-66.9376045900072,-66.4767331433998,-0.343859649122807
"IRN",1972,2.41e+09,4.04e+09,6.45e+09,-1.63e+09,0.00333020423681399,0.00379077876938594,0.00558258303598695,0.00635466648477975,0.00891278727280094,0.0101454452541657,-0.00225237879917295,-0.00256388771539381,80.1356653587817,79.5799762250693,134.335306244597,133.403777572315,214.470971603378,212.983753797385,-54.199640885815,-53.8238013472461,-0.252713178294574
"IRN",1973,3.379e+09,6.207e+09,9.586e+09,-2.828e+09,0.00434579500500733,0.00523651330446553,0.0079829386197338,0.0096191293521212,0.0123287336247411,0.0148556426565867,-0.00363714361472647,-0.00438261604765567,109.338596945379,108.628560406352,200.847786694279,199.543496431557,310.186383639658,308.172056837909,-91.5091897488998,-90.9149360252041,-0.295013561443772
"IRN",1974,5425800000,2.1571e+10,26996800000,-16145200000,0.00659560813038164,0.0117025791842647,0.0262217300638546,0.0465251825691646,0.0328173381942362,0.0582277617534293,-0.019626121933473,-0.0348226033848999,170.697791480526,169.816281180558,678.632102183351,675.127539044161,849.329893663877,844.943820224719,-507.934310702825,-505.311257863604,-0.598041249333254
"IRN",1975,10345900000,2.0211e+10,30556900000,-9865100000,0.0126176473251133,0.0203073478617393,0.0246489208370336,0.0396709621815031,0.0372665681621469,0.0599783100432425,-0.0120312735119202,-0.0193636143197638,316.088723228743,315.250777012615,617.488008310165,615.851057346578,933.576731538908,931.101834359193,-301.399285081421,-300.600280333963,-0.322843613062843
"IRN",1976,12886700000,2.3507e+10,36393700000,-10620300000,0.0132896134884085,0.0253401646381135,0.0242419660791374,0.0462237229196096,0.0375315795675459,0.0715638875577231,-0.0109523525907288,-0.0208835582814962,381.963957555279,382.292562817052,696.751437548165,697.35085585452,1078.71539510344,1079.64341867157,-314.787479992886,-315.058293037468,-0.291816990303267
