"iso3c","year","mil.expenditure.per.capita.cow.un.ln","mil.expenditure.perc.gdp.cow.pwt.ln","mil.expenditure.per.personnel.cow.cow.ln","mil.personnel.per.capita.cow.un.ln","gdp.per.mil.personnel.pwt.cow.ln","mil.cap","mil.cap.sq"
"CHL",1953,6.30325425324274,2.16744346298033,11.1877214551482,-4.88446720190543,13.6254481781559,2.3591005320604,5.56535532036764
"CHL",1954,5.13058790486542,1.07390166146069,9.94158900318513,-4.8110010983197,13.4728575277125,1.02056523588221,1.04155340069132
"CHL",1955,5.45579532660905,1.37199387803881,10.5584163774147,-5.1026210508056,13.7915926853639,1.37255262037145,1.88390069568854
"CHL",1956,5.42133849343754,1.35343109067858,10.5460108386705,-5.12467234523298,13.79774993398,1.33813154454649,1.79059603051037
"CHL",1957,5.12339047676743,1.00334946950707,10.2942901282023,-5.17089965143485,13.8961108446833,0.959917571702837,0.92144174446387
"CHL",1958,4.96172366204319,0.81827225397306,10.1795086176993,-5.21778495565612,13.9664065497143,0.755652816540115,0.571011179145009
"CHL",1959,4.67144486806697,0.565973227771641,9.88677821364753,-5.21533334558056,13.925975171864,0.432026994237087,0.186647323749532
"CHL",1960,4.75614997257531,0.572715005147083,9.9937588723286,-5.2376088997533,14.0262140531696,0.493550136983113,0.24359173771605
"CHL",1961,4.8103301845244,0.602059644994778,9.6405468719728,-4.83021668744839,13.6436574129661,0.57080141755144,0.325814258278734
"CHL",1962,4.96761235614332,0.736631968431998,9.82001457468877,-4.85240221854544,13.6885527922449,0.743855689762602,0.553321287192196
"CHL",1963,4.69137880764783,0.420981225242836,9.39149547094488,-4.70011666329704,13.5756844316901,0.409486380705497,0.167679095983288
"CHL",1964,4.75800936686914,0.487000953007286,9.54918479274245,-4.79117542587332,13.6673540257233,0.482001967980867,0.232325897137428
"CHL",1965,4.85814046796762,0.600025010677277,9.67113750115802,-4.81299703319041,13.6762826764688,0.604612346591912,0.365556089651378
"CHL",1966,4.80298681660855,0.461207162048261,9.71178813302861,-4.90880131642006,13.8557511569684,0.494256780296656,0.244289764869217
"CHL",1967,4.78695719958361,0.435136753453877,9.64310842495137,-4.85615122536776,13.8131418574856,0.473902551912233,0.224583628708927
"CHL",1968,4.67213460041459,0.307141026085572,9.54940175386611,-4.87726715345153,13.8474309137686,0.331209558088446,0.109699771369144
"CHL",1969,4.53701952440781,0.155616484640658,9.43464608200798,-4.89762655760017,13.8841997833554,0.163147335689494,0.0266170531425805
