"iso3c","year","oil","exporter"
"BLR",1980,0,0
"BLR",1981,0,0
"BLR",1982,0,0
"BLR",1983,0,0
"BLR",1984,0,0
"BLR",1985,0,0
"BLR",1986,0,0
"BLR",1987,0,0
"BLR",1988,0,0
"BLR",1989,0,0
"BLR",1990,0,0
"BLR",1991,0,0
"BLR",1992,21.189,0
"BLR",1993,5.703,0
"BLR",1994,5.021,0
"BLR",1995,4.016,0
"BLR",1996,6.008,0
"BLR",1997,8.033,0
"BLR",1998,7.671,0
"BLR",1999,7.029,0
"BLR",2000,7.03,0
"BLR",2001,8.053,0
"BLR",2002,12.069,0
"BLR",2003,16.086,0
"BLR",2004,21.049,0
"BLR",2005,27.031,0
"BLR",2006,22.854,0
"BLR",2007,17.09,0
"BLR",2008,29.1,0
"BLR",2009,34.461,0
"BLR",2010,32.439,0
"BLR",2011,33.658,0
"BLR",2012,32.945,0
"BLR",2013,32.513,0
"BLR",2014,32.473,0
"BLR",2015,32.433,0
"BLR",2016,32.332,0
"BLZ",1980,0,0
"BLZ",1981,0,0
"BLZ",1982,0,0
"BLZ",1983,0,0
"BLZ",1984,0,0
"BLZ",1985,0,0
"BLZ",1986,0,0
"BLZ",1987,0,0
"BLZ",1988,0,0
"BLZ",1989,0,0
"BLZ",1990,0,0
"BLZ",1991,0,0
"BLZ",1992,0,0
"BLZ",1993,0,0
"BLZ",1994,0,0
"BLZ",1995,0,0
"BLZ",1996,0,0
"BLZ",1997,0,0
"BLZ",1998,0,0
"BLZ",1999,0,0
"BLZ",2000,0,0
"BLZ",2001,0,0
"BLZ",2002,0,0
"BLZ",2003,0,0
"BLZ",2004,0,0
"BLZ",2005,0,0
"BLZ",2006,2.261,0
"BLZ",2007,2.895,0
"BLZ",2008,3.455,0
"BLZ",2009,3.865,0
"BLZ",2010,4.151,0
"BLZ",2011,3.863,0
"BLZ",2012,2.644,0
"BLZ",2013,2.025,0
"BLZ",2014,1.781,0
"BLZ",2015,1.225,0
"BLZ",2016,2.03,0
"BOL",1980,0,0
"BOL",1981,0,0
