"","iso3c","year","cn"
"1110","MEX",1840,1
"1111","MEX",1841,1
"1112","MEX",1842,1
"1113","MEX",1843,1
"1114","MEX",1844,1
"1115","MEX",1845,1
"1116","MEX",1846,1
"1117","MEX",1847,1
"1118","MEX",1848,1
"1119","MEX",1849,1
"1120","MEX",1850,1
"1121","MEX",1851,1
"1122","MEX",1852,1
"1123","MEX",1853,1
"1124","MEX",1854,1
"1125","MEX",1855,1
"1126","MEX",1856,1
"1127","MEX",1857,1
"1128","MEX",1858,1
"1129","MEX",1859,1
"1130","MEX",1860,1
"1131","MEX",1861,1
"1132","MEX",1862,1
"1133","MEX",1863,1
"1134","MEX",1864,1
"1135","MEX",1865,1
"1136","MEX",1866,1
"1137","MEX",1867,1
"1138","MEX",1868,1
"1139","MEX",1869,1
"1140","MEX",1870,1
"1141","MEX",1871,1
"1142","MEX",1872,1
"1143","MEX",1873,1
"1144","MEX",1874,1
"1145","MEX",1875,1
"1146","MEX",1876,1
"1147","MEX",1877,1
"1148","MEX",1878,1
"1149","MEX",1879,1
"1150","MEX",1880,1
"1151","MEX",1881,1
"1152","MEX",1882,1
"1153","MEX",1883,1
"1154","MEX",1884,1
"1155","MEX",1885,1
"1156","MEX",1886,1
"1157","MEX",1887,1
"1158","MEX",1888,1
"1159","MEX",1889,1
"1160","MEX",1890,1
"1161","MEX",1891,1
"1162","MEX",1892,1
"1163","MEX",1893,1
